title,artist,album,genre,bpm,bpm_manual,bpm_alt,key,key_numeric,label,year,track_number,remix,duration_sec,bitrate,file_path
Close,Luca Maniaci,Convergence EP,,120.86,0.0,90.64,8A,19,,2024,1,,357,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HARDGROOVE (AU)/19. Luca Maniaci - Close.aiff
Speed Freak,Arctor,Retrograde / Speed Freak,Breaks / Breakbeat / UK Bass,112.8,0.0,0.0,7A,18,DistroKid,2022,02,,0,0,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/after hours bounce/12. Arctor - Speed Freak.aiff
Black Russian,DVS1,Black Russian,,130.15,0.0,97.62,11A,22,,2017,1,,391,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HARDGROOVE (AU)/26. DVS1 - Black Russian.aiff
Sidestepped,Fixate,uu013,Breaks,130.15,0.0,195.23,8A,19,,2025,5,,201,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/rugged breaks/1. Fixate - Sidestepped.aiff
Rotary Turbo,Dott,Rotary Turbo,Minimal / Deep Tech,129.16,0.0,193.74,2A,13,Heisenberg,2023,1,,469,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/traumer style rominz/13. Dott - Rotary Turbo.aiff
Blue Light,Glaskin,CROWD009: Blue Light,Techno (Raw / Deep / Hypnotic),120.86,0.0,90.64,11B,10,CROWD (DE),2025,01,,279,2117,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/after hours bounce/06. Glaskin - Blue Light.aiff
That's a Vibe,Ossie,That's a Vibe,,135.36,0.0,101.52,10B,9,,2025,1,,353,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/18. Ossie - That's a Vibe.aiff
VCV1,Linear System,GSTDVA001,,120.86,0.0,90.64,1A,12,,2025,1,,386,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HARDGROOVE (AU)/20. Linear System - VCV1.aiff
CAPONE,Machinedrum,4#TRAX,,124.41,0.0,186.62,4A,15,,2023,1,,199,2117,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HIGHREZ GIG DLs/06. Machinedrum - CAPONE.aiff
,,Fulminating EP,,120.86,0.0,181.29,3B,2,,2020,,,237,2117,/Users/suhaas/Music/NewTDLs/Test/Kercha - Jazz Symptoms.aiff
Bonito,Dennis Cruz,Bonito,,0.0,0.0,0.0,6A,17,,2024,1,,0,0,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/23. Dennis Cruz - Bonito.aiff
Alarm Room,Blocklab,Alarm Room,,120.86,0.0,181.29,8A,19,,2023,1,,207,2117,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HIGHREZ GIG DLs/22. Blocklab - Alarm Room.aiff
Reckless,Fadi Mohem,We Are,,121.73,0.0,91.29,3B,2,,2017,2,,348,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/techno (deepdrivinghypnotic)/15. Fadi Mohem - Reckless.aiff
Zone X,Mathys Lenne,Sense,Techno,122.61,0.0,91.96,7B,6,,2021,1,,367,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HARDGROOVE (AU)/14. Mathys Lenne - Zone X.aiff
Antipode,Heiko Laux,Klockworks 24,,132.19,0.0,99.14,10B,9,,2019,2,,358,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/techno (deepdrivinghypnotic)/09. Heiko Laux - Antipode.aiff
Halftime,Confluence,Sonus Diēi / Klang des Tages,Techno (Raw / Deep / Hypnotic),127.22,0.0,0.0,7B,6,Vitus' Curse,2020,04,,0,0,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/after hours bounce/08. Confluence - Halftime.aiff
Clearly Rushing,Anz,Clearly Rushing,,132.19,0.0,198.28,3A,14,,2023,1,,200,2117,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HIGHREZ GIG DLs/27. Anz - Clearly Rushing.aiff
Underlying,Traumer,Trudge,Techno,135.36,0.0,101.52,1B,0,,,01,,343,1411,/Users/suhaas/Music/ResisDance/converted_aiff/01 - Traumer - Underlying.aiff
Dancing Together,Edd,Dancing Together,House,129.16,0.0,96.87,7A,18,,2025,1,,225,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/01. Edd - Dancing Together.aiff
I Wonder,Mike Sharon,Be Yourself EP,"Electro, Techno/House",135.36,0.0,101.52,8A,19,Traxx Underground,2025,4,,436,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/traumer style rominz/17. Mike Sharon - I Wonder.aiff
Beat On The Drum,Slam,Dark Channel,,118.32,0.0,88.74,12B,11,,2025,9,,352,2117,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HARDGROOVE (AU)/24. Slam - Beat On The Drum.aiff
Further,frankydrama,Meat Queue / Further,House,127.22,0.0,190.83,6B,5,,2025,02,,377,1411,/Users/suhaas/Music/ResisDance/converted_aiff/02 - frankydrama - Further.aiff
UK to G,Nicolas Duque,"Breaks 'N' Pieces, Vol. 6",,0.0,0.0,0.0,1A,12,,2021,1,,0,0,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HIGHREZ GIG DLs/01. Nicolas Duque - UK to G.aiff
Charlie,DJ Chupacabra,The Strange Case Of…,,0.0,0.0,0.0,1A,12,,2022,3,,0,0,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HIGHREZ GIG DLs/26. DJ Chupacabra - Charlie.aiff
Pulse XIX,Peverelist,Pulse XIX,,125.33,0.0,94.0,4B,3,,2025,1,,492,2117,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Weird Sleazy Obscure Dub/4. Peverelist - Pulse XIX.aiff
Club Afrodisa,D Stone,Resonant Dreams - EP,Tribal Club,0.0,0.0,0.0,6A,17,,2025,3,,0,0,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/27. D Stone - Club Afrodisa.aiff
Gym Tonic,Bob Sinclar,Paradise,,0.0,0.0,0.0,4B,3,,1998,3,,0,0,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/29. Bob Sinclar - Gym Tonic.aiff
Its Time to Move 🅴,SOSA,Its Time to Move,,0.0,0.0,0.0,6A,17,,2023,1,,0,0,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HIGHREZ GIG DLs/24. SOSA - Its Time to Move.aiff
,Kercha; Hypho,Absurd EP,140 / Deep Dubstep / Grime,239.7,0.0,181.28,10B,9,DNO Records,,03,,246,2117,/Users/suhaas/Music/NewTDLs/Test/Kercha; Hypho - Stimulate.aiff
Salad Days,Mac DeMarco,Salad Days,,168.61,0.0,126.42,3B,2,,2014,1,,145,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/35. Mac DeMarco - Salad Days.aiff
Meat Queue,Joe Koshin,Meat Queue / Further,House,130.15,0.0,97.62,4B,3,,,01,,265,1411,/Users/suhaas/Music/ResisDance/converted_aiff/01 - Joe Koshin - Meat Queue.aiff
Transition,Fadi Mohem,Mohem 01,,116.69,0.0,87.52,2B,1,,2022,2,,315,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/techno (deepdrivinghypnotic)/14. Fadi Mohem - Transition.aiff
DL UNDERGROUND,Dj ADHD,OPM008,Bass / Club,122.61,0.0,0.0,11A,22,ec2a,2024,01,,0,0,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/after hours bounce/02. Dj ADHD - DL UNDERGROUND.aiff
Different,Barry Can’t Swim,Different (SBTRKT Sirens Remix),,0.0,0.0,0.0,3B,2,,2025,2,,0,0,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/17. Barry Can’t Swim - Different.aiff
Motion Therapy,Baalti,Motion Therapy,Baalti,116.69,0.0,87.52,4B,3,,2025,1,,239,2117,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/after hours bounce/03. Baalti - Motion Therapy.aiff
The Time Is Now,Sterac,Dekmantel Ten: A Decade of Dekmantel Festival,,119.16,0.0,178.73,9B,8,,2024,13,,356,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/ETHEREAL AFTERHOURS/01. Sterac - The Time Is Now.aiff
Want To You,Nikki Nair,More Is Different,Ghettotech,105.75,0.0,158.62,3B,2,,2021,4,,315,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HIGHREZ GIG DLs/15. Nikki Nair - Want To You.aiff
Try Bonjour,Stillhead,Try Bonjour,,0.0,0.0,0.0,4A,15,,2024,1,,0,0,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HIGHREZ GIG DLs/09. Stillhead - Try Bonjour.aiff
AM TO PM,"Bakey, Capo Lee",AM TO PM,,128.18,0.0,192.27,7B,6,,2023,1,,253,1411,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HIGHREZ GIG DLs/16. Bakey, Capo Lee - AM TO PM.aiff"
Machine Learning (Interplanetary Criminal Remix),"DJ Haus, Interplanetary Criminal",Machine Learning (Interplanetary Criminal Remix),,130.15,0.0,195.24,12B,11,,2020,1,Interplanetary Criminal Remix,302,1411,"/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HIGHREZ GIG DLs/03. DJ Haus, Interplanetary Criminal - Machine Learning (Interplanetary Criminal Remix).aiff"
It Matters,Insomniast,Ctrl,,138.69,0.0,208.03,2B,1,,2025,04,,350,1411,/Users/suhaas/Music/ResisDance/converted_aiff/04 - Insomniast - It Matters.aiff
Hackney Parrot,Tessela,Hackney Parrot / Helter Skelter,,0.0,0.0,0.0,7A,18,,2013,1,,0,0,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/HIGHREZ GIG DLs/14. Tessela - Hackney Parrot.aiff
Sprrrinter,DJ Sprinter,Sprrrinter,,122.61,0.0,183.91,2B,1,,2024,1,,184,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/rugged breaks/2. DJ Sprinter - Sprrrinter.aiff
Rhythm Baby,Dam Swindle,Backyard Galaxy,,135.36,0.0,101.52,8A,19,,2025,3,,384,1411,/Users/suhaas/Music/NewTDLs/Playlists  (Mostly In USB)/Silent Disco/22. Dam Swindle - Rhythm Baby.aiff
